,E11.5_XX_1,E11.5_XX_2,E12.5_XX_1,E12.5_XX_2,E13.5_XX_1,E13.5_XX_2,E13.5_XX_3,E11.5_XY_1,E12.5_XY_1,E12.5_XY_2,E13.5_XY_1,E13.5_XY_2
Itga3,19.77,13.12,8.27,14.99,7.97,12.81,11.38,23.22,15.35,20.94,10.26,13.04
Sgca,0.55,0.06,0.29,0.31,0.15,0.04,0.1,0.06,0.44,0.11,0.03,0.06
Dlx3,0.28,0.34,3.47,5.9,7.87,13.24,10.28,0.18,0.2,0.07,0.38,0.13
Foxm1,24.51,15.1,11.79,24.04,14.11,21.42,23.85,25.1,17.17,25.2,20.55,21.07
Itfg2,9.73,6.42,6.81,11.57,14.05,9.37,13.57,12.27,8.16,10.86,7.62,9.45
Nrip2,2.44,1.62,1.36,3.49,3.35,3.53,2.44,2.64,0.91,1.83,2.66,2.47
Tulp3,29.79,18.26,17.91,32.24,20.66,23.75,26.68,30.06,12.54,21.05,18.78,18.97
Gtf2h4,18.88,14.71,18.59,22.89,27.7,24.85,29.09,19.36,20.68,21.06,19.15,25.55
Tubb5,912.96,620.28,668.72,822.09,687.89,640.48,671.08,986.6,674.99,944.46,801.69,829.76
Ell2,13.4,9.48,8.9,15.33,8.54,21.69,19.03,15.08,15.24,20.5,17.06,19.02
Jup,39.42,22.95,15.51,24.81,19.09,16.75,19.2,43.86,24.12,41.39,21.19,29.06
Fkbp10,53.14,33.09,29.96,50.78,42.82,34.44,29.57,73.16,30.88,47.19,29.84,32.12
Klhl10,0.33,0.53,0.39,0.6,0.41,0.39,0.64,0.64,0.32,0.46,0.35,0.42
Mnx1,0,0,0.01,0.05,0.15,0.05,0.1,0,0,0,0.05,0.02
Nom1,15.44,7.49,10.81,28.87,23,25.84,17.86,22.22,12,21.28,11.96,13.43
Ergic1,78.19,55.5,52.89,77.51,52.08,65.61,71.03,77.48,56.9,77.61,47.91,54.8
Tnk1,1.46,0.53,0.52,1.11,0.27,0.45,0.35,1.08,0.14,0.28,0.07,0.35
Acap1,0.45,0.5,0.23,0.62,0.37,0.42,0.36,2.37,2.14,3.57,0.69,0.88
Tcea3,14.23,13.58,29.39,33.75,37.1,26.81,32.76,15.65,21.72,25.66,16.88,25.3
Csn3,0.67,0.61,0.09,0.06,0,0.09,0.07,0.44,0,0.11,0,0
Ifrd1,93.4,64.39,65.79,77.34,91.73,64.41,74.21,107.33,59.91,81.05,61.69,72.62
Stk38l,11.22,7.94,13.48,31.65,16.46,24.55,23.67,11.59,11.19,13.96,17.19,14.53
Brpf1,22.11,14.09,12.34,20.74,13.57,23.52,22.01,21.35,16.87,22.33,16.73,18.41
Akr1b3,74.75,45.66,57.13,95.86,96.39,91.35,58.13,93.74,62.81,98.03,156.21,110.49
Hoxc13,0,0.01,0.08,0.26,0.24,0.21,0.11,0.03,0.2,0.19,0.28,0.1
Hoxc11,0,0.01,0.01,0,0.02,0,0.02,0.43,0.03,0.02,0,0
Hoxc8,35.21,20.99,8.61,13.32,9.11,10.17,9.27,33,6.97,10.46,10.35,8.99
Hoxc6,42.81,30.59,15.35,19.12,14.12,13.44,15.09,44.02,13.25,20.35,10.85,12.04
Gstt1,4.46,2.21,3.85,4.08,5.73,5.08,3.8,3.79,3.23,6.7,3.94,6.24
Gstt3,3.24,1.76,1.93,3.93,5.76,4.22,4.03,4.05,2.77,4.1,3.18,3.5
Ddt,63.69,33.67,44.2,80.41,101,82.46,38.26,80.09,35.57,66.99,85.53,59.79
Tat,0.31,0.19,0.33,0.26,0.09,0.3,0.37,0.32,0.01,0,0.11,0.04
Marveld3,0.47,0.33,0.33,0.38,0.27,0.3,0.21,0.56,0.36,0.37,0.49,0.42
Ddx18,69.22,51.64,50.27,81.12,59.17,51.6,51.81,78.03,75.59,89.26,112.53,86.65
Ubl3,32.3,43.91,37.63,37.45,32.06,34.54,70.5,34.38,52.39,30.25,52.96,54.12
Gramd3,8.22,5.11,5.84,8.88,7.97,7.05,7.66,9.06,7.75,8.54,13.09,10.84
Eef1e1,40.43,38.59,56.14,51.04,46.7,38.22,48.46,43.46,61.16,57.24,76.83,74.67
Akt1,152.34,96.03,85.83,135.59,108.19,104.32,99.2,159.29,81.53,132.99,86.08,101.19
Cldn15,0.7,0.33,0.67,1.51,1.99,1.21,1.24,0.99,0.41,1.14,0.56,0.81
Il16,2.33,1.29,1.27,1.5,1.11,1.37,1.62,2.22,1.11,1.68,1.15,1.36
Tcirg1,22.33,13.13,13.7,17.91,22.69,16.23,12.73,23.75,11.64,18.58,7.15,10.92
Naglu,3.9,2.28,2.9,4.57,5.44,5.24,4.47,5.05,2.78,5.86,4.61,4.35
Coasy,17.82,10.41,13.35,21.15,21.23,18.44,13.66,23.9,11.17,19.48,16.11,13.58
Smo,72.33,45.41,37.61,61.82,52.04,55.55,42.51,69.05,38.46,53.9,43.79,43.39
Tspan33,7.57,4.22,4.3,9.64,11.19,12.47,12.06,5.43,1.17,2.07,3.05,2.07
Crnkl1,49.44,55.14,36.47,53.47,41.96,42.26,49.12,50.46,45.06,51.55,94.45,60.52
Rin2,34.17,20.85,20.63,43.06,28.32,27.61,25.24,37.05,14.37,24.24,14.53,16.63
Folh1,0.13,0.02,0.07,0.02,0.14,0.06,0.23,0.03,0.01,0,0.11,0.07
Chordc1,55.48,41.55,39.02,62.8,46.95,55.59,59.58,65.39,39.32,54.6,34.48,44.25
Rtcb,106.88,72.51,86.35,131.43,114.96,103.99,104.05,132.44,89.88,118.02,97.44,103.89
Pwp1,47.35,29.41,30.99,51.5,32,36.81,36.48,48.67,39.39,59.23,48.41,57.08
Fbxo7,8.09,6.82,7.67,16.89,15.91,21.52,17.57,12.66,6.86,10.58,12.72,8.48
Capns1,249.84,140.29,152.62,253.25,274.52,207.21,190.86,329.35,165.76,289.8,130.48,184.87
Lrp3,10.64,5.29,3.93,7.13,7.92,6.05,6.78,9.6,3.56,6.04,3.32,3.51
Dsg4,0,0,0,0,0,0,0,0,0,0,0,0
Evx2,0,0,0,0,0.01,0,0,0.01,0,0,0,0
Hoxd13,0.04,0.01,0.03,0.11,0.08,0.04,0.18,0.75,0.01,0.02,0.01,0.04
Hoxd12,0,0.06,0,0,0.01,0,0.02,0.25,0,0,0,0.01
Folr1,17.41,12.73,21.85,30,49.02,32.04,26.22,26.69,18.34,31.36,33.02,34.83
Clpb,18.92,10.52,16.9,34.53,32.01,26.44,21.77,23.44,19.25,27.38,40.64,30.68
Sept7,288.82,260.29,185.52,263.04,172.86,238.22,283.57,335.24,300.86,304.44,381.96,374.86
Zdhhc4,35.17,15.73,15.04,32.04,30.79,27.95,15.84,40.4,17.11,35.49,19.98,18.7
Rac1,301.39,177.3,171.34,256.08,228.05,214.95,217.06,362.5,162.21,280.31,151,193.54
Nup214,37.42,23.17,23.43,31.46,19.71,29.36,37.42,34.15,26.35,39.58,32.91,34.49
Aif1l,35.82,28.29,27.35,41.96,22.32,25.54,36.94,23.32,17.46,12.82,7.32,11.67
Cpa3,0.54,0.33,0.52,1.02,1.54,4.03,1.88,0.5,0.24,0.57,0.69,0.94
Ltbp1,102.93,65.45,30.61,53.46,30.94,28.82,42.23,112.6,17.85,26.87,17.3,14.86
Ugp2,71.81,55.63,52.51,64.4,61.61,59.6,63.52,90.81,58.32,65.93,62.27,63.94
Kcnh6,0.15,0.13,0.15,0.53,0.54,0.65,0.82,0.25,0.11,0.07,0.11,0.09
Trmt1,49.23,35.76,36.67,44.08,52,34.44,41.87,51.98,37.58,45.06,55.12,36.66
Nacc1,55.87,40.8,38.04,61.02,36.4,45.3,46.05,54.81,43.75,57.8,45.11,43.85
Nfix,1.78,0.59,0.7,1.93,1.79,4.53,3.87,2.07,1.4,3.07,7.61,5.41
Slc1a5,7.81,4.41,3.38,4.68,3.5,3.18,4.21,7.56,3.33,4.62,2.76,3.35
Uba1,345.88,174.07,257.54,580.03,453.41,309.94,253.91,355.67,162.74,327.42,252.72,248.45
Vwf,3.2,2.21,0.66,0.9,0.88,1.17,0.78,3.3,0.91,1.46,7.12,2.35
Siae,4.42,3.17,3.97,6.29,4.68,5.63,8.16,4.26,3.63,5.43,9.61,8.46
Vsig2,1.01,0.32,0.26,0.35,0.29,0.29,0.36,0.96,0.34,0.43,0.1,0.31
Esam,13.7,8.82,6.57,10.1,7.76,8.02,7.68,18.23,9.01,11.71,6.72,8.68
Spa17,12.34,13.9,21.43,26.69,48.87,55.66,40.36,13.99,20.66,19.65,113.66,39.71
Fam50a,102.77,101.27,131.51,167.98,194.23,170.72,181.21,99.99,96.44,94.26,130.86,114.38
Emd,85.38,71.53,91.1,99.28,106.24,175.14,128.5,79.11,58.49,69.77,61.53,63.28
Taco1,9.51,7.91,7.31,11.06,9.46,9.98,11.93,8.5,9.82,8.91,10.8,10.98
Grik3,1.97,1.39,3.01,7.33,4.04,5.04,8.59,1.36,0.57,1.07,0.8,1.12
Gria3,10.77,6.17,3.43,6.54,3.94,4.88,7.05,10.94,3.31,6.1,6.41,5.83
Npas1,0,0,0,0,0,0.02,0,0,0,0,0,0.01
Sipa1l2,12.86,7.75,7.19,18.17,8.31,12.19,15.8,16.98,9.79,16.18,10.28,10.01
Ap4e1,11.51,7.25,5,12.71,4.03,8.82,13.56,11.01,6.23,11.25,10.79,11.98
Blvra,16.52,10.38,11.7,15.75,18.46,17.7,15.54,18.24,13.36,16.34,12.02,12.73
Pdzd4,12.13,10.76,12.99,17.51,13.25,14.7,15.33,13.02,16.61,16.39,26.41,25.03
Srpk3,0.16,0.16,0.06,0.08,0.19,0.95,0.15,0.12,0.03,0.3,0.08,0.12
Idh3g,129.64,87.77,137.44,182.55,234.61,189.41,162.58,138.62,90.24,127.17,124.44,113.47
Pnck,1.5,0.85,2.78,4.03,7.18,5.87,5.41,1.42,0.81,1.37,1.38,1.09
Ssr4,48.29,30.74,41.4,53.22,73.51,63.52,44.09,59.03,26.89,54.88,27.66,41.09
Bcap31,113.66,73.32,113.26,180.8,217.46,205.53,156.26,123.35,87.97,123.3,104.03,92.62
Fam98a,25.69,16.35,17.55,31.52,23.05,25.46,26.79,27.37,20.98,31.67,24.13,25.49
Ltbp2,0.23,0.17,0.21,0.49,0.42,0.33,0.27,0.2,0.07,0.3,0.37,0.1
Kmt2a,32.68,19.76,9.32,18.09,4.54,21.86,31.1,19.97,13.2,28.45,35.25,18.03
Ift46,139.16,108.02,112.2,138.02,125.69,127.23,141.88,154.45,120.88,130.03,111.2,164.86
Tmem25,1.84,1.11,0.84,1.32,1.04,0.82,0.84,2.35,0.38,0.7,0.5,0.48
Cd3g,0.05,0.18,0.03,0.12,0.04,0.11,0.55,0.33,0,0.29,0,0.1
Trappc6a,5.5,4,3.34,4.38,5.75,4.22,4.22,8.05,2.41,3.39,2.44,3.72
Supt6,68.39,41.64,29.27,60.74,26.15,35.08,44.73,65.24,42.46,71.38,115.7,68.63
Spag5,38.19,24.23,13.99,20.11,13.85,18.15,24.46,37.3,22.89,35.19,25.11,20.75
Foxn1,0.03,0,0,0,0.01,0,0,0,0,0,0,0.02
Unc119,34.92,23.98,29.07,41.49,40.6,33.85,31.69,46.53,32.52,45.47,23.41,36.3
Rab34,29.28,14.95,15.57,31.22,35.63,25.79,19.43,37.07,19.59,30.13,21.03,18.47
Sdf2,36.71,29.62,30.8,39.37,47.63,37.04,27.61,37.51,32.02,39.86,49.56,38.71
Ccne1,51.99,38.13,40.78,63.3,57.11,57.28,56.63,47.94,34.4,38.8,12.82,19.5
Hsf2bp,8.36,6.83,35,43.92,101.01,154.7,121.55,6.87,23.08,27.76,46.59,60.35
Bbc3,2.03,2.82,2.98,2.03,2.56,1.48,3.15,1.77,1.78,1.24,1.68,1.51
Mybpc3,0.36,0.16,0.31,0.87,0.73,0.74,0.59,0.38,3.07,5.65,8,6.92
Psmc3,190.7,132.09,142.1,163.61,191.4,203.82,164.77,207.48,162.95,218.42,153.98,230.82
Acp2,32.44,17.47,16.24,24.83,14.84,20.81,21.8,25.33,11.33,23.32,13.19,33.93
Rapsn,0.36,0.06,0.29,0.67,0.32,0.31,0.25,0.4,0.67,0.66,0.31,0.36
Slc39a13,9.41,4.96,4.9,7.42,6.76,6.91,5.72,9.91,5.46,9.01,7.62,6.34
Celf2,14.48,8.23,9.13,21.74,11.53,22.97,35.01,16.84,9.26,19.5,24.04,24.42
Nr1h3,0.65,0.37,0.31,0.74,1.05,0.84,0.78,0.61,0.15,0.42,0.44,0.39
Ddb2,10.52,6.55,9.41,12.92,23.71,50.15,34.23,11.36,6.37,10.18,4.82,6.79
Spi1,2.1,1.26,0.34,0.64,0.73,0.46,0.5,2.47,0.32,0.45,0.39,0.44
Sf3a1,59.63,41.18,36.65,63.97,39.69,50.23,56.28,67.6,45.6,64.59,49.7,57.96
Stat6,12.01,8.65,6.93,13.05,7.53,8.64,9.43,12.96,7.41,9.38,7.4,8.63
Clgn,1.07,0.66,1.47,5.54,4.26,5.73,1.85,0.52,0.51,1.05,7.13,1.04
Napsa,0.36,0.22,2.47,0,0.19,0,0.03,0.3,0.02,0,0.05,0.04
Vrk3,19.8,13.38,12.48,19.88,22.74,26.8,20.78,22.69,11.94,16.25,16.05,14.47
Smg9,11.31,7.18,8.54,12.58,17.61,16.57,12.3,13.8,7.32,11.9,7.76,8.33
Paxip1,27.25,15.92,13.75,24.23,11.55,11.8,15.47,27.15,15.81,22.35,11.67,14.72
Rmnd5a,72.12,40.12,32.34,71.73,31.23,54.4,50.17,65.6,30,46.75,48.07,36.11
Mov10,33.68,16.52,22.57,41.8,30.19,25.94,32.08,37.21,20.2,39.45,22.69,26.67
Ppm1j,3.05,2.02,4.21,4.99,4.12,4.03,3.46,2.76,5.22,6.17,3.54,2.71
Rhoc,97.38,63.34,65.42,103.29,106.49,93.4,85.21,125.31,56.73,80.68,55.49,65.16
Prr27,0,0,0,0,0,0,0,0,0,0,0,0
Tead3,21.85,12.77,7.31,15.97,12.63,13.22,9.75,23.1,10.12,18.79,11.16,9.67
Ppard,17,11.8,10.13,15.89,12.4,14.56,10.4,15.06,8.49,13.18,9.32,8.57
Def6,2.56,2.04,2.63,4.17,3.85,3.27,2.65,3.2,1.97,2.66,1.96,1.34
Peg3,813.89,463.46,195.97,430.63,121.23,231.48,350.45,694.36,154.55,295.46,164.35,171.03
Zim1,106.56,64.08,18.22,46.06,8.48,29.1,55.9,83.8,14.45,34.49,25.32,25.44
Metrn,7.3,5.18,5,6.19,9.6,6.9,8.07,11.15,10.91,10.53,5.32,7.06
Lmf1,8.94,4.69,5.26,7.45,10.85,7.57,6.59,12.59,8.34,12.21,7.62,8.43
Narfl,8.09,7.03,5.4,6.14,7.13,6.66,7.48,9.14,6.59,7.5,6.41,9.05
Angptl4,16.69,12.31,20.7,21.06,20.82,14.75,20.4,17.09,8.16,11.43,7.73,11.73
Dbf4,63.06,45.04,51.22,79.25,61.11,71.41,64.52,68.73,57.41,75.17,46.66,54.16
Daxx,28.38,19.39,18.43,30.21,25.72,45.38,28.24,39.32,23.58,33.61,26.04,27.77
Cd320,15.46,9.09,13.56,23.05,31.72,21.55,16.81,18.58,11.89,19.99,15.53,14.67
Ipo4,45.52,25.5,30.95,46.8,38.62,29.39,27.78,43.07,29.84,45.61,44.8,35.89
Tm9sf1,52.85,39.72,38.86,49.96,47.78,47.34,62.18,55.32,46.74,50.98,37.1,56.89
Rec8,4.19,4.26,27.01,61.98,111.99,100.53,102.06,3.48,1.56,2.43,5.4,7.75
Irf9,11.19,8,9.05,13.13,9.73,11.35,10.56,11.94,5.15,7.42,4.64,5.05
Gmpr2,27.8,18.99,15.62,20.31,19.69,14.21,16.27,32.58,15.79,22.62,18.56,18.59
Mdp1,23.12,16,16.72,19.43,22.38,15.5,17.59,25.78,13.75,16.92,10.86,14.49
Dhrs1,18.92,13.51,13.64,17.16,19.58,11.41,13.52,25.25,8.9,15.34,11.06,12.65
Ncan,0.2,0.08,0.04,0.12,0.07,0.18,0.12,0.18,0.06,0.11,0.51,0.08
Tmem161a,14.3,10.97,9.98,12.11,14.44,9.89,10.56,16.71,8.22,11.8,7.95,9.53
Armc6,5.18,3.09,3.79,5.19,7.24,7.29,5.43,7,4.6,6.82,6.22,5.68
2310045N01Rik,24.94,15.13,17.13,23.95,24.22,17.46,17.22,27.78,13.25,21.59,12.85,15.99
Slc25a42,11.03,5.73,6.92,9.49,9.61,17.67,12.31,9.16,2.84,5.76,3.22,3.02
Snx9,61.06,35.81,40.1,71.91,45.46,59.71,42.13,67.51,33.14,54.61,51.06,39.13
Ranbp3,48.78,32.11,35.32,53.63,48.82,43.82,42.46,53.71,37.1,53.97,33.06,35.57
Ndufa11,9.49,7.06,10.69,10.77,16.19,12.68,13.5,11.27,8.14,10.87,8.89,13.09
Bmp8b,0.11,0.02,0.12,0.2,0.09,0.13,0.09,0.03,0.03,0.08,0.43,0.17
Nr2f6,17.65,11.58,15.7,18.19,21.8,10.19,16.04,16.1,12.16,15.23,19.41,11.87
Use1,65.17,45.6,60.9,87.18,112.67,74.37,65.51,73.28,41.74,63.73,53.14,52.97
Ocel1,4.38,2.5,4.14,6.13,7.94,5.83,6.31,4.85,2.82,4.6,5.57,4.82
Dyrk1b,16.56,12.08,14.36,23.99,21.1,20.71,21.92,16.69,10.68,14.9,19.36,19.09
Braf,14.59,9.52,6.88,12.84,5.41,13,20.12,11.5,6.05,10.01,12.79,12.07
Ndufb2,47.9,43.48,73.98,73.62,105.89,72.57,76.41,57.2,57.66,58.44,44.97,58.32
Hltf,19.7,13.64,10.74,26.03,11.36,18.57,19.09,18.89,13.66,21.86,16.16,18.08
Prpf6,69.14,48.68,44.41,75.46,63.24,56.48,62,75.51,51.89,66.28,94.06,64.79
Rgs19,37.49,32.47,28.65,27.11,30.72,29.81,25.29,40.69,24.32,28.48,17.83,20.46
Rgs20,0.34,0.38,0.13,0.14,0.1,0.61,0.15,0.52,0.29,0.11,0.32,0.26
Abhd3,12.08,11.85,9.72,10.64,10.58,8.57,11.2,12.34,4.07,6.17,5.87,7.46
Snrpd1,323.65,279.65,331.37,362.19,440.81,296.78,293.42,372.51,314.63,336.91,207.01,262.44
Tchp,14.49,7.87,5.97,10.18,7.12,7.73,7.12,14.86,8.21,12.76,11.92,10.89
Tiam1,15.4,8.97,8.77,15.08,7.58,10.75,14.02,18.56,12.77,20.96,14.49,15.84
Tsc2,24.98,13.37,12.42,21.7,16.61,19.01,15.93,25.12,12.73,23.17,14.51,14.12
Rpl3l,0.11,0.19,0.44,0.79,2.07,2.2,1.33,0.2,0.3,0.11,1.83,0.82
Slc9a3r2,25.06,16.77,16.68,27.91,29.74,18.51,17.91,30.79,15.45,21.73,17.68,16.13
Puf60,109.14,79.87,104.49,148.67,154.7,131.45,137.83,127.61,122.77,163.34,174.58,157.73
Golga2,39.54,31.95,25.19,43.44,26.97,41.62,48.03,36.53,33.27,43.54,47.59,41.02
Uck1,10.23,7.05,6.52,12.05,10.96,9.43,9.41,10.79,5.28,8.23,5.05,6.39
Scin,0.76,0.67,0.2,0.32,0.17,0.2,0.3,0.71,0.58,0.62,0.4,0.67
Ikzf4,2.64,1.15,0.9,1.75,1.02,1.62,1.9,1.71,0.71,1.44,1.4,1.2
Mien1,14.68,11.86,16.86,21.4,33.31,24.87,24.97,17.38,12.04,18.13,17.14,19.24
Pon1,0.08,0.02,0,0.12,0,0,0,0.03,0,0,0.03,0.06
Axl,125.36,91.63,72.03,124.91,73.53,76.71,95.23,181.6,111.75,192.61,141.01,124.37
Tgfb1,11.58,7.27,5.3,6.91,5.16,5.11,4.27,12.98,9.4,13.35,13.7,10.89
Ccdc97,23.04,15.38,12.88,19.55,15.47,17.29,21.69,27.35,14.84,23.28,19.37,18.58
Zfp40,11.85,7.13,6.31,10.1,4.15,7.77,9.92,11.51,5.7,10.05,7.35,8.17
Akap8l,51.55,37.99,34.94,48.66,42.96,42.71,42.79,51.03,29.62,45.92,35.51,31.64
Shh,0.54,0.33,0.04,0.07,0.3,0.6,0.24,0.45,0.41,0.8,0.99,1.11
Pdcd2l,16.71,15.22,21.19,25.54,29.93,27.58,25.61,19.51,26.1,23.4,30.77,24.66
Gtf2f1,59.6,59.39,70.35,79.76,86.45,87.01,90.54,64.3,69.7,66.64,113.86,79.84
Clpp,41.79,36.4,53.78,62.24,83.78,50.75,55.04,48.96,53.92,52.44,36.5,41
Alkbh7,25.08,25.37,27.86,28.06,37.13,20.39,21.26,29.68,19.53,23.21,28.97,21.02
Pspn,0.3,0.09,0.15,0.18,0.35,0.18,0,0.14,0.09,0.3,0.12,0
Dennd1c,2.15,1.52,2.16,2.43,1.53,0.89,0.89,2.95,2.53,3.22,0.81,1.16
Med6,93.45,71.55,86.78,99.68,106.49,106.19,94.97,109.81,87.46,103.61,107.69,117.46
Prkd1,19.33,12.79,16.1,30.89,18.65,19.72,21.54,21.9,8.46,12.64,8.82,9.85
Lcp2,1.94,1.34,0.38,0.87,0.45,0.57,0.31,1.96,0.26,0.84,0.3,0.4
Cse1l,166.82,124.54,141.47,215.38,153.06,176.35,186.41,183.22,175.92,214.57,166.71,205.06
Naa20,51.09,30.3,32.81,48.92,50.24,40.5,35.59,68.64,27.76,47.91,26.6,30.99
Prkra,22.46,17.5,14.48,18.02,20.13,15.73,16.36,32.23,19.48,25.34,18.84,23.68
Fkbp7,41.5,29.26,26.68,34.75,40.92,34.13,29.15,53.29,37.31,52.23,40.56,49.97
Plekha3,12.9,10.11,8.58,12.09,9.5,11.37,11.05,15.77,10.13,13.61,11.29,11.09
Ykt6,44.12,28.69,26.22,48.32,48.44,50.79,41.29,55.77,30,42.94,29.66,31.99
Baz1b,117.68,73.52,53.76,112.27,60.1,96.83,98.4,110.15,68.37,107.13,86.71,79.31
Pex6,10.86,6.22,6.96,14.03,12.96,9.78,8.81,13.41,6.66,10.04,6.82,7.43
Mrpl2,64.35,42.91,51.61,57.09,78.06,71.16,50.1,72.35,63.18,91.14,44.75,58.06
Mea1,107.24,80.37,93.69,112.25,144.99,136.82,103.82,110.55,102.09,132.12,156.64,119.47
Gnmt,0.2,0.15,0.19,0.23,0.51,0.07,0.21,0.28,0.16,0.35,0.34,0.19
Grin2d,0.56,0.35,0.53,0.82,0.9,0.86,0.9,0.52,0.25,0.61,0.36,0.35
Kdelr1,87.93,58.25,55.22,78.44,78.97,78,59.06,80.88,54.02,79.77,67.96,59.34
Tmem143,6.27,5.09,6.54,8.29,7.29,8.39,8.06,5.97,5.5,6.12,3.99,7.32
Pdxk-ps,0.06,0,0,0.07,0.01,0.06,0,0.02,0,0,0.02,0.05
Ggct,14.4,15.3,30.5,35.04,55.69,27.45,30.5,19.95,28.33,30.61,61.11,43.79
Jag2,1.51,0.93,2.84,6.92,7.36,7.18,7.61,1.75,1.57,2.68,2.47,1.91
Btbd6,7.25,4.17,6.01,10.64,10.72,9.25,8.15,7.6,4.85,7.54,6.28,5.37
Nudt14,17.4,7.4,8.6,16.56,21.97,17.06,10.67,19.89,7.35,12.84,7.88,7.49
Epdr1,3.45,2.71,3.39,5.44,4.64,4.52,4.64,3.83,4.23,4.68,4.46,6.92
Flii,60.45,38.33,45.24,69.84,69.31,65.36,65.73,70.14,37.73,61.37,38.55,41.97
Top3a,15.59,8.84,7.23,18.97,9.47,16.62,12.73,16.47,11.06,19.59,23.85,16.85
Atg4d,4.68,3.26,3.87,6.26,5.88,4.16,4.76,5.45,3.7,5.61,4.52,4.49
Qtrt1,10.25,10.81,9.89,9.95,7.78,5.34,8.13,12.22,8.44,12.12,7.99,9.83
Plin4,0.07,0.04,0.02,0.05,0.01,0.06,0.08,0.03,0.02,0.04,0.04,0.03
Hdgfrp2,65.44,43.54,42.66,75.16,93.34,114.03,82.29,77.42,48.33,70.33,48.65,47.25
Chaf1a,37.6,24.62,24.01,45.72,30.95,34.63,34.41,41.31,33.25,45.35,26.52,28.47
Adprh,41.43,26.8,24.96,34.36,39.37,29.74,31.54,47.32,34.64,48.9,41.38,41.72
Tmem39a,115.11,72.66,76.23,96.23,114.88,140.79,100.39,126.19,92.97,138.35,107.44,111.73
Timmdc1,16.43,11.01,14.46,29.33,21.58,18.17,17.78,22.53,17.41,24.29,20.83,20.62
Pla1a,0.77,0.59,1.36,0.99,0.55,0.53,0.61,0.59,1.76,1.44,0.52,1.35
Mcm2,89.93,66.9,72.75,112.23,71.03,78.45,83.54,98.93,90.69,112.25,68.36,88.3
Tpra1,14.46,9.94,9,14.58,17.93,15.19,11.36,17.41,6.64,14.83,8.44,10.4
Nab1,29.57,21.91,22.51,40.73,26.9,35.14,35.08,31.1,17.6,24.84,41.03,34.29
Cd97,21.8,14.29,16.54,25.42,19.86,21.65,23.08,22.43,11.63,19.1,10.85,15.85
Il17ra,2.21,1.5,1.62,2.87,3.6,5.19,3.85,2.29,1.56,2.45,2.71,2.32
Lamb1,224.16,103.97,72.03,188.74,128.91,138.58,103.81,270.53,124.39,257.65,229.86,125.64
Kcnn1,0.48,0.35,0.36,0.7,0.58,0.37,0.78,0.61,0.23,0.23,0.72,0.45
Arrdc2,2.3,1.28,1.23,2.37,2.6,2.14,2.08,2.68,1.67,2.05,1.47,1.95
Ppp1r17,0.25,0.03,0,0,0.02,0.03,0,0.08,0,0,0,0
Cd36,11.51,8.67,5.18,8.63,3.59,4.49,5.6,13.05,4.73,7.5,7.42,9.8
Map2k7,53.85,36.25,30.07,49.22,32.02,40.12,46.36,50.98,34.26,53.44,64.36,54.82
Timm44,106.37,69.57,64.03,107,89.49,78.06,72.45,127.95,73.71,115.61,121.95,97.25
Ap2a2,40.3,22.94,21.34,42.02,27.12,32.97,30.81,43.72,25.09,38.83,34.23,29.89
Pnkp,9.17,6.2,7.11,9.46,11.04,8.82,9.61,12.81,5.82,10.31,8.02,9.15
Med25,19.87,14.6,14.28,19.49,18.9,15.76,19.68,19.67,15.26,19.44,17.57,17.32
Bcam,44.53,38.45,39.6,41.87,37.1,30.16,47.72,47.24,26.24,26.07,30.12,43.92
Clptm1,26.64,20.05,22.9,36.12,30.63,33.13,38.84,29.63,23.03,30.99,24.67,29.15
Relb,2.98,2.03,2.26,3.35,4.83,7.19,5.09,3.13,3.11,2.97,5.99,4.22
Tomm40,27.44,15.55,15.61,25.3,25.75,15.84,12.09,31.94,20.04,32.22,22.67,21.09
Apoe,212.84,170.77,186.53,231.57,213.85,152.84,148.88,186.58,115.44,167.62,119.06,144.75
Apoc2,1.82,1.6,2.95,5.89,12.61,24.08,8.71,0.72,3.24,4.44,19.86,12.1
Hbp1,124.15,81.25,86.72,178.44,94.26,114.86,113.45,131.57,86.6,127,148.43,141.63
Prkar2b,24.7,18.51,32.18,45.24,40.31,55.5,60.45,31.25,32.28,43.69,98.67,121.13
Cdkn1b,31.25,21.97,28.16,42.41,35.26,45.44,44.68,24.54,13.54,21.48,19.11,21.19
Klf4,2.11,1.44,1.85,3.49,2.12,3.05,2.71,2.56,2.67,4.5,5.43,5.68
Ap1m1,132.44,56.06,55.19,138.5,114.45,148.86,77.1,120.83,61.76,132.65,194.42,95.58
Rab8a,171.71,125.15,104.04,162.49,134.01,160.61,166.45,156.77,104.98,153.6,141.65,138.06
Hmgn2,424.73,491.46,435.18,362.71,327.91,276.97,476.23,504.39,484.8,389.14,386,435.5
Fam32a,53.45,43.41,48.16,63.89,59.36,55.31,59.04,61.91,42.31,50.15,41.06,45.91
Elf3,4.1,2.71,2.63,2.92,2.33,1.68,1.85,3.47,0.84,0.87,0.65,0.56
Cyp2c29,0,0,0,0,0,0,0,0,0,0,0,0
Stard3nl,41.85,33.23,19.3,42.57,42.9,25.9,22.6,47.03,28.09,49.43,39.17,26.55
Stk11,95.91,73.72,97.65,107.46,110.61,91.98,98.01,105.14,91.99,107.78,93.39,111.21
