"","x"
"1225","Kifap3"
"1226","Kifbp"
"1227","Kifc3"
"1228","Kit"
"1229","Kiz"
"1230","Klc1"
"1231","Klf10"
"1232","Klf16"
"1233","Klf2"
"1234","Klf3"
"1235","Klf4"
"1236","Klf5"
"1237","Klf9"
"1238","Klhdc10"
"1239","Klhdc8b"
"1240","Klhl13"
"1241","Klhl20"
"1242","Klhl22"
"1243","Klhl24"
"1244","Klhl3"
"1245","Klhl5"
"1246","Klhl6"
"1247","Klhl8"
"1248","Klk8"
"1249","Kras"
"1250","Krt10"
"1251","Krt14"
"1252","Krt15"
"1253","Krt18"
"1254","Krt19"
"1255","Krt7"
"1256","Krtap17-1"
"1257","Kyat1"
"1258","Kyat3"
"1259","L3hypdh"
"1260","Lactb"
"1261","Lad1"
"1262","Lama2"
"1263","Lamc1"
"1264","Laptm4b"
"1265","Large1"
"1266","Larp4b"
"1267","Lbp"
"1268","Lbx2"
"1269","Lcn3"
"1270","Ldha"
"1271","Lef1"
"1272","Lekr1"
"1273","Lemd1"
"1274","Leng9"
"1275","Lgals1"
"1276","Lgals3bp"
"1277","Lgals8"
"1278","Lgals9"
"1279","Lgi3"
"1280","Lgr4"
"1281","Lhcgr"
"1282","Lhfp"
"1283","Lhpp"
"1284","Lhx9"
"1285","Lima1"
"1286","Limd2"
"1287","Lims2"
"1288","Lin7c"
"1289","Lin9"
"1290","Lipt1"
"1291","Lix1"
"1292","Lix1l"
"1293","Lmcd1"
"1294","Lmna"
"1295","Lmntd2"
"1296","Lmo1"
"1297","Lmo2"
"1298","Lmo3"
"1299","Lnpk"
"1300","Lnx1"
"1301","Lor"
"1302","Loxl1"
"1303","Lpar4"
"1304","Lpcat1"
"1305","Lpcat4"
"1306","Lpgat1"
"1307","Lpin1"
"1308","Lpp"
"1309","Lratd2"
"1310","Lrch2"
"1311","Lrch3"
"1312","Lrfn4"
"1313","Lrfn5"
"1314","Lrp12"
"1315","Lrrc17"
"1316","Lrrc28"
"1317","Lrrc34"
"1318","Lrrc3b"
"1319","Lrrc4"
"1320","Lrrc49"
"1321","Lrrc56"
"1322","Lrrfip1"
"1323","Lrrfip2"
"1324","Lrriq3"
"1325","Lrrk1"
"1326","Lrrn3"
"1327","Lrrn4"
"1328","Lrrtm4"
"1329","Lsamp"
"1330","Lsm14a"
"1331","Lsp1"
"1332","Lta4h"
"1333","Ltbp1"
"1334","Ltbp3"
"1335","Lum"
"1336","Lurap1l"
"1337","Luzp1"
"1338","Ly6d"
"1339","Ly6h"
"1340","Ly96"
"1341","Lypd6"
"1342","Lypd6b"
"1343","Lypd8l"
"1344","Lyrm9"
"1345","Lysmd1"
"1346","Lzts1"
"1347","Macrod2"
"1348","Macroh2a2"
"1349","Mael"
"1350","Maged2"
"1351","Magee2"
"1352","Magel2"
"1353","Magi1"
"1354","Magohb"
"1355","Mamstr"
