"","x"
"1043","Hddc2"
"1044","Hdgfl2"
"1045","Heatr5b"
"1046","Hebp2"
"1047","Hectd3"
"1048","Hecw2"
"1049","Herc6"
"1050","Hgs"
"1051","Hgsnat"
"1052","Hid1"
"1053","Hif1an"
"1054","Higd2a"
"1055","Hip1"
"1056","Hipk2"
"1057","Hipk3"
"1058","Hirip3"
"1059","Hivep1"
"1060","Hlcs"
"1061","Hmga1"
"1062","Hmga1b"
"1063","Hmgb2"
"1064","Hmgb3"
"1065","Hmgxb3"
"1066","Hmmr"
"1067","Hnrnpa1"
"1068","Hnrnpa2b1"
"1069","Hnrnpab"
"1070","Hnrnpf"
"1071","Homer2"
"1072","Hook1"
"1073","Hoxb9"
"1074","Hp1bp3"
"1075","Hpdl"
"1076","Hps1"
"1077","Hrob"
"1078","Hs6st1"
"1079","Hsbp1l1"
"1080","Hsd11b2"
"1081","Hsd17b3"
"1082","Hsd17b7"
"1083","Hsf2"
"1084","Hspa14"
"1085","Hspa4"
"1086","Hspa5"
"1087","Htt"
"1088","Hycc1"
"1089","Hycc2"
"1090","Hyou1"
"1091","Iah1"
"1092","Iars"
"1093","Iba57"
"1094","Icmt"
"1095","Idh3a"
"1096","Idh3b"
"1097","Idh3g"
"1098","Ifitm7"
"1099","Ifrd1"
"1100","Ifrd2"
"1101","Ift140"
"1102","Ift172"
"1103","Ift43"
"1104","Igf2bp3"
"1105","Igfbp7"
"1106","Igsf8"
"1107","Ikzf5"
"1108","Il17ra"
"1109","Il4ra"
"1110","Immp1l"
"1111","Incenp"
"1112","Inf2"
"1113","Ing2"
"1114","Inhbb"
"1115","Ino80e"
"1116","Inppl1"
"1117","Insc"
"1118","Insig2"
"1119","Ints1"
"1120","Ints12"
"1121","Ints15"
"1122","Ints3"
"1123","Ints5"
"1124","Ipo13"
"1125","Ipo4"
"1126","Ipo8"
"1127","Ipo9"
"1128","Iqce"
"1129","Iqgap3"
"1130","Irak2"
"1131","Irf2"
"1132","Irf6"
"1133","Irs2"
"1134","Isg20l2"
"1135","Islr2"
"1136","Itga4"
"1137","Itm2b"
"1138","Itm2c"
"1139","Itpk1"
"1140","Itpr3"
"1141","Itprip"
"1142","Jade1"
"1143","Jagn1"
"1144","Jak1"
"1145","Jakmip2"
"1146","Jam2"
"1147","Jam3"
"1148","Jmjd4"
"1149","Jpt2"
"1150","Jtb"
"1151","Jup"
"1152","Kank2"
"1153","Kansl3"
"1154","Kat2a"
"1155","Kat2b"
"1156","Katnb1"
"1157","Kazald1"
"1158","Kbtbd13"
"1159","Kcna6"
"1160","Kcna7"
"1161","Kcnh1"
"1162","Kcnma1"
"1163","Kcnmb4"
"1164","Kctd10"
