,E11.5_XX_WT_rep1,E11.5_XX_WT_rep2,E11.5_XY_WT_rep1,E12.5_XX_WT_rep1,E12.5_XX_WT_rep2,E12.5_XY_WT_rep1,E12.5_XY_WT_rep2,E13.5_XX_WT_rep1,E13.5_XX_WT_rep2,E13.5_XX_WT_rep3,E13.5_XY_WT_rep1,E13.5_XY_WT_rep2
Gm24378,0,0,0,0,0,0,0,0,0,0,0,0
Mir1904,0,0,0,0,0,0,0,0,0,0,0,0
Gm22717,0,0,0,0,0,0,0,0,0,0,0,0
Gm22720,0,0,0,0,0,0,0,0,0,0,0,0
Gm24635,0,0,0,0,0,0,0,0,0,0,0,0
Mir1900,0,0,0,0,0,0,0,0,0,0,0,0
Gm23214,0,0,0,0,0,0,0,0,0,0,0,0
Gm23212,0,0,0,0,0,0,0,0,0,0,0,0
Gm23206,0,0,0,0,0,0,0,0,0,0,0,0
Gm26020,0,0,0,0,0,0,0,0,0,0,0,0
Gm22027,0,0,0,0,0,0,0,0,0,0,0,0
Gm24896,0,0,0,0,0,0,0,0,0,0,0,0
Gm24892,0,0,0,0,0,0,0,0,0,0,0,0
Gm22984,0,0,0,0,0,0,0,0,0,0,0,0
Gm24631,0,0,0,0,0,0,0,0,0,0,0,0
Gm24630,0,0,0,0,0,0,0,0,0,0,0,0
Gm24141,0,0,0,0,0,0,0,0,0,0,0,0
Mir1905,0,0,0,0,0,0,0,0,0,0,0,0
Gm25805,0,0,0,0,0,0,0,0,0,14.49,0,0
Gm22067,0,0,0,0,0,0,0,0,0,0,0,0
Gm25294,0,0,0,0,0,0,0,0,0,0,0,0
Gm25290,0,0,0,0,0,0,0,0,0,0,0,0
Mir1899,0,0,0,0,0,0,0,0,0,0,0,0
Gm25289,0,0,0,0,0,0,0,0,0,0,0,0
Mir1894,0,0,0,0,0,0,0,0,0,0,0,0
Gm22451,0,0,0,0,0,0,0,0,0,0,0,0
Gm22452,0,0,0,0,0,0,0,0,0,0,0,0
Gm12532,0.02,0.01,0.03,0,0.02,0.03,0,0.04,0,0.03,0.03,0.03
Platr3,0.81,0.44,0.18,0.58,1.16,0.35,0.98,1.43,0.48,0.31,0.79,0.55
Grip1os2,0,0,0,0,0,0,0.08,0.19,0.1,0,0.19,0
